amr2
"# ::id 0
# ::annotator indoamrbart-mbart-fted
# ::snt ""Mengacu padanya hanya sebagai """"saksi"""", Amrozi menuduh saudaranya dengan sengaja mendistorsi buktinya.""
(z0 / menu
(z0 / bayar-01
    :ARG0 (z1 / program
              :wiki ""Medicare(U3000 / UnitedStates)""
              :name (z2 / nama
                        :op1 ""Medicare""))
    :ARG1 (z3 / entitas-persentase)
    :ARG3 (z4 / biaya
              :mod (z5 / obat)))"
"# ::id 1743
# ::annotator indoamrbart-mbart-fted
# ::snt Indeks Bulanan Manajemen Pembelian Nasional Chicago naik menjadi 58,9 dari 55,9 pada bulan Juli, tertinggi dalam 15 bulan.
(z0 / naik-01
    :ARG0 (z1 / organisasi
              :wiki -
              :name (z2 / nama
                        :op1 ""National""
                        :op2 ""Chicago""
                        :op3 ""Management""
                        :op4 ""Pembelian""
                        :op5 ""Nasional""))
    :ARG4 (z3 / entitas-laju-91
              :ARG4 (z4 / entitas-tanggal))
    :ARG3 (z5 / entitas-laju-91
              :ARG4 (z6 / entitas-tanggal))
    :ARG4 (z7 / entitas-laju-91
              :ARG4 (z8 / entitas-tanggal))
    :ARG4 (z9 / entitas-laju-91
              :ARG4 (z10 / entitas-laju-91
                         :ARG2 (z11 / kuantitas-sementara
                                    :unit (z12 / bulan)))))"
"# ::id 1744
# ::annotator indoamrbart-mbart-fted
# ::snt Lamo mengatakan kepada wartawan bahwa dia akan menyerah kepada FBI di tangga gedung pengadilan federal di Sacramento pada hari Jumat, tetapi dia tidak muncul.
(z0 / dan
    :op1 (z1 / katakan-01
             :ARG0 (z2 / orang
                       :wiki -
                       :name (z3 / nama
                                 :op1 ""Lamo""))
             :ARG1 (z4 / menyerah-01
                       :ARG0 (z5 / dia)
                       :location (z6 / tangga
                                     :part-of (z7 / pengadilan
                                                  :mod (z8 / federal)
                                                  :location (z9 / kota
                                                                :wiki ""Sacramento""
                                                                :name (z10 / nama
                                                                           :op1 ""Sacramento""))))
                       :time (z11 / entitas-tanggal
                                  :weekday (z12 / jumat)))
             :ARG2 (z13 / wartawan))
    :op2 (z14 / muncul-01
              :polarity -
              :ARG0 z5
              :time (z15 / entitas-tanggal
                         :weekday (z16 / jumat))))"
"# ::id 1745
# ::annotator indoamrbart-mbart-fted
# ::snt Saksi Zulfiqar Ali, yang sedikit terluka oleh pecahan peluru, mengatakan para penyerang telah fokus pada penjaga masjid.
(z0 / katakan-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Saksi""
                        :op2 ""Ali""))
    :ARG1 (z3 / fokus-01
              :ARG0 (z4 / penyerang)
              :ARG1 (z5 / penjaga
                        :mod (z6 / masjid)))
    :ARG2 (z7 / orang
              :wiki -
              :name (z8 / nama
                        :op1 ""Ali"")
              :ARG1 (z9 / terluka-01
                        :ARG0 (z10 / pecahan
                                   :mod (z11 / peluru))
                        :degree (z12 / sedikit))))"
"# ::id 1746
# ::annotator indoamrbart-mbart-fted
# ::snt Untuk tahun kedua berturut -turut, kenaikan biaya rumah sakit mendominasi kenaikan, menyumbang 51 persen dari keseluruhan biaya spiral.
(z0 / dan
    :op1 (z1 / mendominasi-01
             :ARG0 (z2 / entitas-tanggal
                       :ord (z3 / entitas-ordinal))
             :ARG1 (z4 / naik-01
                       :ARG1 (z5 / biaya
                                 :mod (z6 / rumah-sakit))))
    :op2 (z7 / sumbang-01
             :ARG0 (z8 / biaya
                       :mod (z9 / spiral))
             :ARG1 (z10 / entitas-persentase)))"
"# ::id 1747
# ::annotator indoamrbart-mbart-fted
# ::snt ""Sementara dia mengatakan, """"Banyak orang baik bekerja di industri telemarketing, publik dapat dipahami kehilangan kesabaran dengan panggilan telepon yang tidak diinginkan ini, intrusi yang tidak diinginkan.""
(z0 / dan
    :op1 (z1 / katakan-01
             :ARG0 (z2 / dia)
             :ARG1 (z3 / bekerja-01
                       :ARG0 (z4 / orang
                                 :mod (z5 / baik))
                       :location (z6 / industri
                                     :mod (z7 / telemarketing))))
    :op2 (z8 / mungkin-01
             :ARG1 (z9 / mengerti-01
                       :ARG0 (z10 / publik)
                       :ARG1 (z11 / kalah-01
                                  :ARG0 z10
                                  :ARG1 (z12 / kesabaran
                                             :mod (z14 / telepon
                                                       :mod (z15 / ini)
                                                       :ARG1-of (z16 / ingin-01
                                                                     :polarity -)))
                                  :mod (z18 / ini)
                                  :ARG1-of (z19 / ingin-01
                                                :polarity -)))))"
"# ::id 1748
# ::annotator indoamrbart-mbart-fted
# ::snt Kongres telah menambahkan manfaat baru - opsi untuk membeli pertanggungan asuransi untuk obat resep.
(z0 / tambah-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Kongres""))
    :ARG1 (z3 / manfaat
              :mod (z4 / baru))
    :manner (z5 / opsi-01
                :ARG0 (z6 / orang
                          :ARG0-of (z7 / memiliki-peran-org-91
                                       :ARG2 (z8 / pertanggungan)))
                :ARG1 (z9 / beli-01
                          :ARG0 z6
                          :ARG1 (z10 / pastikan-02
                                     :ARG1 (z11 / obat
                                                :mod (z12 / resep))))))"
"# ::id 1749
# ::annotator indoamrbart-mbart-fted
# ::snt Mayor Jeffery mengatakan dia akan memberikan pensiun militernya untuk amal sementara dia bertugas di Yarralumla.
(z0 / katakan-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Mayor""
                        :op2 ""Jeffery""))
    :ARG1 (z3 / memberi-01
              :ARG0 z1
              :ARG1 (z4 / pensiun
                        :mod (z5 / militer)
                        :poss z1)
              :ARG2 (z6 / amal)
              :time (z7 / bertugas-01
                        :ARG0 z1
                        :location (z8 / kota
                                      :wiki ""Yarralumla,Yarralumla""
                                      :name (z9 / nama
                                                :op1 ""Yarralumla"")))))"
"# ::id 1750
# ::annotator indoamrbart-mbart-fted
# ::snt Indeks komposit NASDAQ yang dilacak teknologi <.ixic> naik 40,09 poin, atau 2,46 persen, di 1.666,58, menandai penutupan tertinggi sejak 23 Mei 2002.
(z0 / naik-01
    :ARG0 (z1 / perusahaan
              :wiki -
              :name (z2 / nama
                        :op1 ""ixic""
                        :op2 ""NASDAQ"")
              :ARG0-of (z3 / lacak-01
                           :ARG1 (z4 / teknologi)))
    :ARG4 (z5 / atau
              :op1 (z6 / entitas-laju-91
                       :ARG1 (z7 / kuantitas-moneter
                                 :unit (z8 / poin)))
              :op2 (z9 / entitas-laju-91
                       :ARG1 (z10 / entitas-laju-91
                                  :ARG2 (z11 / entitas-tanggal))
                       :ARG2 (z12 / entitas-laju-91
                                  :ARG1 (z13 / entitas-laju-91
                                             :ARG2 (z14 / entitas-tanggal))
                                  :ARG3 (z15 / entitas-laju-91
                                             :ARG1 (z16 / kuantitas-moneter
                                                        :unit (z17 / poin))
                                             :ARG2 (z18 / entitas-laju-91
                                                        :ARG1 (z19 / entitas-laju-91
                                                                   :ARG2 (z20 / entitas-tanggal))
                                                        :ARG3 (z21 / entitas-laju-91
                                                                   :ARG1 (z22 / entitas-laju-91
                                                                              :ARG2 (z23 / entitas-tanggal))
                                                                   :ARG3 (z24 / entitas-laju-91
                                                                              :ARG1 (z25 / entitas-laju-91
                                                                                         :ARG2 (z26 / entitas-tanggal))
                                                                              :ARG2 (z27 / entitas-laju-91
                                                                                         :ARG1 (z28 / entitas-laju-91
                                                                                                    :ARG2 (z29 / entitas-tanggal))
                                                                                         :ARG3 (z30 / entitas-laju-91
                                                                                                    :ARG4 (z31 / entitas-laju-91
                                                                                                               :ARG1 (z32 / entitas-laju-91
                                                                                                                          :ARG2 (z33 / entitas-tanggal)))))))))))))"
"# ::id 1751
# ::annotator indoamrbart-mbart-fted
# ::snt Quattrone, 47, didakwa dengan penghalang keadilan dan saksi merusak.
(z0 / indikte-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Qua""
                        :op2 ""Tttrone"")
              :age (z3 / kuantitas-sementara
                       :unit (z4 / tahun)))
    :ARG1 (z5 / dan
              :op1 (z6 / penghalang
                       :mod (z7 / keadilan))
              :op2 (z8 / saksi
                       :ARG0-of (z9 / merusak-01))))"
"# ::id 1752
# ::annotator indoamrbart-mbart-fted
# ::snt Konsep Masa Depan dan Grup Desain Kapal Permukaan adalah otoritas teknis Komando Sistem Laut Angkatan Laut untuk semua desain dan rekayasa kapal permukaan.
(z0 / otoritas-01
    :ARG0 (z1 / dan
              :op1 (z2 / otoritas
                       :mod (z3 / teknis)
                       :poss (z4 / organisasi-pemerintah
                                 :wiki -
                                 :name (z5 / nama
                                           :op1 ""Sistem""
                                           :op2 ""Laut""
                                           :op3 ""Angkatan""
                                           :op4 ""Laut"")))
              :op2 (z6 / otoritas
                       :mod (z7 / insinyur-01
                                :ARG1 (z8 / dan
                                          :op1 (z9 / buat-01
                                                   :ARG1 (z10 / kapal
                                                              :mod (z11 / permukaan)))
                                          :op2 (z12 / insinyur-01
                                                    :ARG1 (z13 / kapal
                                                               :mod (z14 / permukaan)))))))
    :ARG1-of (z15 / termasuk-91
                  :ARG2 (z16 / otoritas
                             :mod (z17 / insinyur-01
                                       :ARG1 (z18 / kapal
                                                  :mod (z19 / permukaan))))))"
"# ::id 1753
# ::annotator indoamrbart-mbart-fted
# ::snt Wall Street juga menunggu pembuat aluminium Alcoa Inc. (NYSE: PEP - News - People) untuk melaporkan pendapatan setelah penutupan.
(z0 / menunggu-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Wall""
                        :op2 ""Street""))
    :ARG1 (z3 / orang
              :wiki -
              :name (z4 / nama
                        :op1 ""People""
                        :op2 ""Alcoa"")
              :ARG0-of (z5 / memiliki-peran-org-91
                           :ARG1 (z6 / perusahaan
                                     :wiki -
                                     :name (z7 / nama
                                               :op1 ""Alcoa""
                                               :op2 ""Inc.""))
                           :ARG2 (z8 / perusahaan
                                     :wiki -
                                     :name (z9 / nama
                                               :op1 ""PEP""
                                               :op2 ""News""
                                               :op3 ""People""))))
    :ARG2 (z10 / melaporkan-01
               :ARG0 z3
               :ARG1 (z11 / pendapatan)
               :time (z12 / setelah
                          :op1 (z13 / tutup-01
                                    :ARG1 (z14 / perusahaan)))))"
"# ::id 1754
# ::annotator indoamrbart-mbart-fted
# ::snt Perhiasan yang diperkirakan senilai $ 250.000 milik pemain hip-hop ditemukan Jumat di Bandara Kennedy, di mana ia menghilang 20 Juni.
(z0 / menemukan-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Kennedy"")
              :ARG0-of (z3 / memiliki-peran-org-91
                           :ARG2 (z4 / pemain
                                     :mod (z5 / hip-hop))))
    :ARG1 (z6 / perhiasan
              :ARG1-of (z7 / estimasi-01
                           :ARG2 (z8 / kuantitas-moneter
                                     :unit (z9 / dolar))))
    :time (z10 / entitas-tanggal
               :weekday (z11 / jumat))
    :location (z12 / bandara
                   :wiki ""KennedyInternationalAirport""
                   :name (z13 / nama
                              :op1 ""Kennedy"")
                   :location-of (z14 / hilang-01
                                     :ARG0 z1
                                     :time (z15 / entitas-tanggal))))"
"# ::id 1755
# ::annotator indoamrbart-mbart-fted
# ::snt Maskapai ini memiliki opsi untuk membeli 380 lebih, terbagi secara merata di antara kedua produsen.
(z0 / pilih-01
    :ARG0 (z1 / orang
              :mod (z2 / ini))
    :ARG1 (z3 / beli-01
              :ARG0 z1
              :ARG1 (z4 / produk
                        :wiki -
                        :name (z5 / nama
                                  :op1 ""380""))
              :manner (z6 / bagi-01
                          :ARG0 z1
                          :ARG1-of (z7 / adil-01))))"
"# ::id 1756
# ::annotator indoamrbart-mbart-fted
# ::snt Pada tahun 2001, keuskupan mencapai penyelesaian $ 15 juta yang melibatkan lima imam dan 26 penggugat.
(z0 / mencapai-02
    :ARG0 (z1 / keuskupan)
    :ARG1 (z2 / selesai-01
              :ARG1 (z3 / entitas-laju-91
                        :ARG1 (z4 / kuantitas-moneter
                                  :unit (z5 / dolar))
                        :ARG2 (z6 / dan
                                  :op1 (z7 / imam)
                                  :op2 (z8 / penggugat))))
    :time (z9 / entitas-tanggal))"
"# ::id 1757
# ::annotator indoamrbart-mbart-fted
# ::snt ""Pemerintah AS dan pakar teknologi swasta telah memperingatkan bahwa peretas berencana untuk menyerang ribuan situs web pada hari Minggu dalam """"kontes"""" yang terkoordinasi secara longgar yang dapat mengganggu lalu lintas internet.""
(z0 / peringatkan-01
    :ARG0 (z1 / dan
              :op1 (z2 / orang
                       :ARG0-of (z3 / memiliki-peran-org-91
                                    :ARG1 (z4 / organisasi-pemerintah
                                              :wiki ""UnitedStatesDepartmentofState""
                                              :name (z5 / nama
                                                        :op1 ""U.S.""
                                                        :op2 ""Department""
                                                        :op3 ""of""
                                                        :op4 ""State""))
                                    :ARG2 (z6 / resmi)))
              :op2 (z7 / orang
                       :ARG0-of (z8 / memiliki-peran-org-91
                                    :ARG2 (z9 / pakar
                                              :mod (z10 / teknologi
                                                        :mod (z11 / swasta))))))
    :ARG1 (z12 / berencana-01
               :ARG0 (z13 / orang
                          :ARG0-of (z14 / memiliki-peran-org-91
                                        :ARG2 (z15 / peretas)))
               :ARG1 (z16 / menyerang-01
                          :ARG0 z13
                          :ARG1 (z17 / situs
                                     :mod (z18 / web)
                                     :quant (z19 / beberapa
                                                 :op1 1000))
                          :time (z20 / entitas-tanggal
                                     :weekday (z21 / minggu))
                          :location (z22 / kontes
                                         :mod (z23 / ini)
                                         :ARG1-of (z24 / terkoordinasi-01
                                                       :manner (z25 / longgar)
                                                       :ARG0-of (z26 / mengganggu-01
                                                                     :ARG1 (z27 / lalu-lintas
                                                                                :mod (z28 / internet)))
                                                       :ARG1-of (z29 / mungkin-01))))))"
"# ::id 1758
# ::annotator indoamrbart-mbart-fted
# ::snt Tetapi Kenny mengatakan nasihatnya kepada David Hicks, jika mereka diizinkan untuk bertemu, mungkin dia menerima kesepakatan.
(z0 / katakan-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Kenny""
                        :op2 ""Hicks""))
    :ARG1 (z3 / saran-01
              :ARG0 z1
              :ARG2 (z4 / orang
                        :wiki -
                        :name (z5 / nama
                                  :op1 ""David""
                                  :op2 ""Hicks"")))
    :ARG2 (z6 / orang
              :wiki -
              :name (z7 / nama
                        :op1 ""Kenny"")))"
"# ::id 1759
# ::annotator indoamrbart-mbart-fted
# ::snt Kenny dan pengacara keluarga Amerika, Michael Ratner, menginginkan akses ke Hicks sebelum dia menghadapi pengadilan militer.
(z0 / ingin-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Kenny"")
              :ARG0-of (z3 / memiliki-peran-rel-91
                           :ARG1 (z4 / keluarga
                                     :wiki -
                                     :name (z5 / nama
                                               :op1 ""America""))
                           :ARG2 (z6 / pengacara)))
    :ARG1 (z7 / akses-01
              :ARG0 z1
              :ARG1 (z8 / hicks))
    :time (z9 / sebelum
              :op1 (z10 / menghadapi-04
                        :ARG0 z1
                        :ARG1 (z11 / pengadilan
                                   :mod (z12 / militer))))
    :domain (z13 / orang
                 :wiki -
                 :name (z14 / nama
                            :op1 ""Michael""
                            :op2 ""Ratner"")))"
"# ::id 1760
# ::annotator indoamrbart-mbart-fted
# ::snt Kedua bentuk tersebut merupakan 30 persen dari 7 juta aplikasi yang diajukan ke Biro setiap tahun.
(z0 / merupakan-01
    :ARG0 (z1 / bentuk
              :mod (z2 / itu))
    :ARG1 (z3 / entitas-persentase
              :ARG3-of (z4 / termasuk-91
                           :ARG1 (z5 / aplikasi
                                     :ARG1-of (z6 / ajukan-01
                                                  :ARG0 (z7 / Biro)
                                                  :frequency (z8 / entitas-laju-91
                                                                 :ARG3 (z9 / kuantitas-sementara
                                                                           :unit (z10 / tahun))))))))"
"# ::id 1761
# ::annotator indoamrbart-mbart-fted
# ::snt Serikat pekerja juga melakukan pemogokan lima hari pada bulan Maret;Pemogokan telah mendahului delapan dari 10 kontrak terakhir.
(z0 / dan
    :op1 (z1 / mogok-01
             :ARG0 (z2 / orang
                       :ARG0-of (z3 / bekerja-01))
             :time (z4 / entitas-tanggal)
             :duration (z5 / kuantitas-sementara
                           :unit (z6 / hari)))
    :op2 (z7 / naik-06
             :ARG0 z1
             :ARG1 (z8 / kontrak
                       :mod (z9 / terakhir))))"
"# ::id 1762
# ::annotator indoamrbart-mbart-fted
# ::snt Adaptable dan Carter's Trading Co. tidak segera membalas panggilan yang meminta komentar pada hari Rabu.
(z0 / balas-01
    :ARG0 (z1 / dan
              :op1 (z2 / orang
                       :wiki -
                       :name (z3 / nama
                                 :op1 ""Carter""))
              :op2 (z4 / orang
                       :wiki -
                       :name (z5 / nama
                                 :op1 ""Carter"")))
    :ARG1 (z6 / panggilan-01
              :ARG0 (z7 / orang
                        :ARG0-of (z8 / komentar-01))
              :time (z9 / entitas-tanggal
                        :weekday (z10 / rabu)))
    :manner (z11 / segera))"
"# ::id 1763
# ::annotator indoamrbart-mbart-fted
# ::snt ""Kredit fitur Wyle juga termasuk """"Oleander Putih,"""" """"Cukup"""" dan """"Donnie Darko.""""""
(z0 / termasuk-01
    :ARG0 (z1 / fitur
              :poss (z2 / orang
                        :wiki -
                        :name (z3 / nama
                                  :op1 ""Wyle"")))
    :ARG1 (z4 / dan
              :op1 (z5 / orang
                       :wiki -
                       :name (z6 / nama
                                 :op1 ""Oleander""
                                 :op2 ""Putih""))
              :op2 (z7 / orang
                       :wiki -
                       :name (z8 / nama
                                 :op1 ""Cukup""
                                 :op2 ""Darko""))
              :op3 (z9 / orang
                       :wiki -
                       :name (z10 / nama
                                  :op1 ""Donnie""
                                  :op2 ""Darko"")))
    :ARG2 (z11 / orang
               :wiki -
               :name (z12 / nama
                          :op1 ""Cukup""
                          :op2 ""Darko"")))"
"# ::id 1764
# ::annotator indoamrbart-mbart-fted
# ::snt Perbendaharaan itu mengatakan ingin memberi pembeli eceran dari semua sekuritas Treasury kemampuan pada akhirnya untuk mengelola kepemilikan secara online dalam satu akun.
(z0 / mengatakan-01
    :ARG0 (z1 / organisasi
              :wiki -
              :name (z2 / nama
                        :op1 ""Perbendaharaan""
                        :op2 ""itu""))
    :ARG1 (z3 / ingin-01
              :ARG0 z1
              :ARG1 (z4 / memberi-01
                        :ARG0 z1
                        :ARG1 (z5 / beli-01
                                  :ARG0 (z6 / orang
                                            :ARG0-of (z7 / memiliki-peran-org-91
                                                         :ARG2 (z8 / perbendaharaan))))
                        :ARG1 (z9 / eceran)
                        :ARG2 (z10 / orang
                                   :ARG0-of (z11 / memiliki-peran-org-91
                                                 :ARG2 (z12 / sekuritas
                                                            :wiki -
                                                            :name (z13 / nama
                                                                       :op1 ""Treasury"")))))
              :ARG2 (z14 / mengelola-01
                         :ARG0 z10
                         :ARG1 (z15 / kepemilikan)
                         :manner (z16 / online)
                         :location (z17 / akun))
              :time (z18 / akhirnya)))"
"# ::id 1765
# ::annotator indoamrbart-mbart-fted
# ::snt ""Seorang juru bicara Gedung Putih menambahkan bahwa Iran memiliki """"satu kesempatan terakhir"""" untuk mematuhi kewajiban pelucutan senjata.""
(z0 / menambahkan-01
    :ARG0 (z1 / orang
              :ARG0 (z2 / orang
                        :ARG0-of (z3 / memiliki-peran-org-91
                                     :ARG1 (z4 / organisasi
                                               :wiki ""WhiteHouse""
                                               :name (z5 / nama
                                                         :op1 ""White""
                                                         :op2 ""House""))
                                     :ARG2 (z6 / juru-bicara))))
    :ARG1 (z7 / memiliki-01
              :ARG0 (z8 / negara
                        :wiki ""Iran""
                        :name (z9 / nama
                                  :op1 ""Iran""))
              :ARG1 (z10 / kesempatan
                         :mod (z11 / terakhir))
              :purpose (z12 / mematuhi-01
                            :ARG0 z8
                            :ARG1 (z13 / kewajiban
                                       :mod (z14 / pelucutan
                                                 :mod (z15 / senjata))))))"
"# ::id 1766
# ::annotator indoamrbart-mbart-fted
# ::snt Setelah dia dibawa ke ruang eksekusi dan diikat ke brankar, Swisher mengangkat kepalanya dan tampak tersenyum ketika pendeta penjara berbicara di telinganya.
(z0 / dan
    :op1 (z1 / bawa-01
             :ARG0 (z2 / dia)
             :destination (z3 / ruang
                              :mod (z4 / eksekusi)))
    :op2 (z5 / ikat-01
             :ARG0 z2
             :ARG1 (z6 / brankar))
    :time (z7 / setelah
              :op1 (z8 / angkat-01
                       :ARG0 (z9 / orang
                                 :wiki -
                                 :name (z10 / nama
                                            :op1 ""Swisher""))
                       :ARG1 (z11 / kepala
                                  :part-of z9)))
    :op3 (z12 / tampak-01
              :ARG0 z9
              :ARG1 (z13 / senyum-01
                         :ARG0 z9)
              :time (z14 / bicara-01
                         :ARG0 (z15 / orang
                                    :ARG0-of (z16 / memiliki-peran-org-91
                                                  :ARG2 (z17 / pendeta
                                                             :mod (z18 / penjara))))
                         :location (z19 / telinga
                                        :part-of z9))))"
"# ::id 1767
# ::annotator indoamrbart-mbart-fted
# ::snt Parrado tetap berada di pemotong Penjaga Pantai Rabu ketika para pejabat menentukan statusnya dan masa depan segera, kata Penjaga Pantai.
(z0 / ujar-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Penjaga""
                        :op2 ""Pantai""))
    :ARG1 (z3 / bertahan-01
              :ARG1 (z4 / orang
                        :ARG0-of (z5 / memiliki-peran-org-91
                                     :ARG2 (z6 / polisi)))
              :location (z7 / pemotong)
              :time (z8 / entitas-tanggal
                        :weekday (z9 / rabu))
              :time (z10 / dan
                         :op1 (z11 / menentukan-01
                                   :ARG0 (z12 / orang
                                              :ARG0-of (z13 / memiliki-peran-org-91
                                                            :ARG2 (z14 / resmi)))
                                   :ARG1 (z15 / status
                                              :poss z4))
                         :op2 (z16 / masa-depan
                                   :poss z4)
                         :time (z17 / segera))))"
"# ::id 1768
# ::annotator indoamrbart-mbart-fted
# ::snt Sebulan yang lalu, Departemen Perdagangan memperkirakan bahwa PDB telah tumbuh pada tingkat 7,2 persen pada kuartal ketiga.
(z0 / estimasi-01
    :ARG0 (z1 / organisasi-pemerintah
              :wiki ""DepartemenPerdagangan""
              :name (z2 / nama
                        :op1 ""Departemen""
                        :op2 ""Perdagangan""))
    :ARG1 (z3 / tumbuh-01
              :ARG1 (z4 / laju
                        :mod (z5 / domestik))
              :ARG2 (z6 / entitas-persentase)
              :time (z7 / entitas-tanggal)))"
"# ::id 1769
# ::annotator indoamrbart-mbart-fted
# ::snt Roxio, akan mendapatkan akses ke lebih dari 300.000 trek dari perpustakaan musik dari label utama, dan sistem distribusi ples.
(z0 / akses-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Roxioio""))
    :ARG1 (z3 / trek
              :mod (z4 / perpustakaan
                       :mod (z5 / musik))
              :source (z6 / dan
                          :op1 (z7 / label
                                   :mod (z8 / utama))
                          :op2 (z9 / sistem
                                   :mod (z10 / distribusi
                                             :mod (z11 / ples))))
              :quant (z12 / lebih-dari
                          :op1 ""300.000"")))"
"# ::id 1770
# ::annotator indoamrbart-mbart-fted
# ::snt Saham Boeing turun 95 sen, atau 3,3 persen, menjadi $ 27,67 pada pukul 3:30 malam.di New York Stock Exchange Trading.
(z0 / turun-01
    :ARG0 (z1 / perusahaan
              :wiki ""Boeing""
              :name (z2 / nama
                        :op1 ""Boeing""))
    :ARG4 (z3 / entitas-laju-91
              :ARG1 (z4 / kuantitas-moneter
                        :unit (z5 / sen))
              :ARG2 (z6 / entitas-laju-91
                        :ARG1 (z7 / kuantitas-moneter
                                  :unit (z8 / dolar))
                        :ARG2 (z9 / entitas-laju-91
                                  :ARG1 (z10 / entitas-laju-91
                                             :ARG1 (z11 / entitas-laju-91
                                                        :ARG2 (z12 / entitas-tanggal
                                                                   :dayperiod (z13 / malam))))
                                  :ARG2 (z14 / entitas-laju-91
                                             :ARG1 (z15 / entitas-laju-91
                                                        :ARG2 (z16 / entitas-tanggal
                                                                   :dayperiod (z17 / malam)))))))
    :location (z18 / perusahaan
                   :wiki ""NewYorkStockExchange""
                   :name (z19 / nama
                              :op1 ""New""
                              :op2 ""York""
                              :op3 ""Stock""
                              :op4 ""Exchange"")))"
"# ::id 1771
# ::annotator indoamrbart-mbart-fted
# ::snt Indeks. 500. SPX yang lebih luas & miskin adalah 0,46 poin lebih rendah, atau 0,05 persen, pada 997,02.
(z0 / atau
    :op1 (z1 / rendah-01
             :ARG1 (z2 / indeks
                       :mod (z3 / indeks
                                :mod (z4 / indeks
                                         :mod (z5 / indeks))))
             :ARG2 (z6 / entitas-persentase))
    :op2 (z7 / miskin
             :domain (z8 / indeks
                         :mod (z9 / indeks
                                  :mod (z10 / indeks
                                            :mod (z11 / indeks
                                                      :mod (z12 / indeks))))))
    :time (z13 / entitas-tanggal))"
"# ::id 1772
# ::annotator indoamrbart-mbart-fted
# ::snt Sementara bentuk operasi militer apa pun tidak jelas, Jakarta telah meningkatkan jumlah pasukan dan polisi di provinsi yang kaya sumber daya menjadi lebih dari 45.000 dari 38.000.
(z0 / jelas-01
    :polarity -
    :ARG0 (z1 / bentuk
              :mod (z2 / operasi
                       :mod (z3 / militer))
              :mod (z4 / apa-apa))
    :ARG1 (z5 / meningkat-01
              :ARG0 (z6 / kota
                        :wiki ""Jakarta""
                        :name (z7 / nama
                                  :op1 ""Jakarta""))
              :ARG1 (z8 / jumlah
                        :quant-of (z9 / dan
                                      :op1 (z10 / pasukan)
                                      :op2 (z11 / polisi))
                        :location (z12 / provinsi
                                       :ARG1-of (z13 / kaya-01
                                                     :ARG2 (z14 / sumber-daya))))
              :ARG2 (z15 / lebih-dari
                         :op1 (z16 / entitas-laju-91
                                   :ARG1 45000
                                   :ARG2 (z17 / entitas-tanggal)))))"
"# ::id 1773
# ::annotator indoamrbart-mbart-fted
# ::snt Lima anggota juri alternatif juga dipilih, dengan alternatif keenam untuk dipilih pada hari Jumat.
(z0 / pilih-01
    :ARG0 (z1 / orang
              :ARG0-of (z2 / memiliki-peran-org-91
                           :ARG1 (z3 / juri
                                     :mod (z4 / alternatif))
                           :ARG2 (z5 / anggota)))
    :ARG1 (z6 / alternatif
              :ord (z7 / entitas-ordinal))
    :time (z8 / entitas-tanggal
              :weekday (z9 / jumat)))"
"# ::id 1774
# ::annotator indoamrbart-mbart-fted
# ::snt Dalam wawancara dengan banyak insinyur, yang sebagian besar belum berbicara di depan umum sampai sekarang, garis perselisihan antara insinyur dan manajer NASA menonjol dalam kelegaan.
(z0 / menonjol-01
    :ARG0 (z1 / garis
              :mod (z2 / perselisihan)
              :poss (z3 / orang
                        :ARG0-of (z4 / memiliki-peran-org-91
                                     :ARG2 (z5 / insinyur)))
              :ARG1 (z6 / orang
                        :ARG0-of (z7 / memiliki-peran-org-91
                                     :ARG2 (z8 / manajer))))
    :location (z9 / kelegaan)
    :time (z10 / sampai
               :op1 (z11 / sampai
                         :op1 (z12 / sekarang)))
    :location (z13 / wawancara-01
                   :ARG0 (z14 / orang
                              :ARG0-of (z15 / memiliki-peran-org-91
                                            :ARG2 (z16 / insinyur))
                              :quant (z17 / banyak))))"
"# ::id 1775
# ::annotator indoamrbart-mbart-fted
# ::snt FBI menangkap seorang pria Chicago pinggiran kota Rabu dan menuduhnya diam-diam mengumpulkan informasi tentang orang-orang di Amerika Serikat yang menentang pemerintah Irak Saddam Hussein.
(z0 / dan
    :op1 (z1 / tangkap-01
             :ARG0 (z2 / man
                       :mod (z3 / kota
                                :wiki ""Chicago""
                                :name (z4 / nama
                                          :op1 ""Chicago""))
                       :location (z5 / pinggiran
                                     :part (z6 / kota))
                       :time (z7 / entitas-tanggal
                                 :weekday (z8 / rabu)))
             :ARG1 (z9 / orang
                       :wiki -
                       :name (z10 / nama
                                  :op1 ""Saddam""
                                  :op2 ""Hussein"")))
    :op2 (z11 / menuduh-01
              :ARG0 (z12 / dia)
